retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,US-806341,G536,AJWAIN SEED WHOLE ORGANIC SPICES,usda,995.792,238,47.62,23.81,0,0,47.6,620,NA,NA,0,667,NA,NA,0,1333,16.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-945506,A513,"ALMOND FLOUR, ALMOND",usda,2389.064,571,21.43,21.43,50,7.14,14.3,3570,NA,NA,NA,271,NA,271,NA,736,3.57,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA
,US-476436,H507,ALMOND MILK,usda,71.128,17,0.83,0.42,1.25,0.42,0.4,0,830,210,0,42,NA,NA,75,79,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
,US-503149,G539,BALSAMIC VINEGAR,usda,418.4,100,20,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,US-1862058,B507,BLACK BEANS,usda,230.12,55,15.8,3.94,0.79,NA,5.5,0,NA,NA,0,31,NA,NA,496,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA
431,US-2106513,A509,BLACK RICE,usda,1556.448,372,79.1,11.6,3.49,2.33,4.7,0,NA,NA,0,0,NA,NA,0,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
,US-627292,X517,"CAJUN SEASONING, CAJUN",usda,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,25556,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
,US-169061,I510,"Candies, gum drops, no sugar or low calorie (sorbitol)",usda,1480,354,88.1,0,0.2,70,0,34,92,64,0,0,0,0,7,NA,0,0,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3456,US-172238,G542,"Capers, canned",usda,96,23,4.89,2.36,0.86,0.41,3.2,233,63,304,0,40,10,33,2350,40,1.67,0.374,1.2,NA,0.078,NA,0.32,0,0.88,0,0,NA,NA,23,0.018,0.139,0.652,0.027,0.023,NA,23,4.3,83
1,US-1098072,L501,"Cheese spread, cream cheese, regular",usda,1234.28,295,3.5,7.1,28.6,3.5,0,18020,8071,1033,90,71,91,6,436,112,1.13,0.015,2.7,NA,NA,NA,0.51,300,0.77,NA,NA,NA,NA,12,0.02,0.19,0.95,NA,0.04,NA,12,0,19
1,US-169079,L518,"Cheese, cream, low fat",usda,66.7,208,6.73,7.85,16.7,3.3,0,10000,4000,575,54,148,152,8,317,247,0.17,0.032,4,NA,0.011,NA,0.57,160,0.27,NA,0.3,NA,5.4,19,0.04,0.185,0.125,0.845,0.045,NA,19,0,11
1,US-170850,L513,"Cheese, provolone",usda,1470,351,2.14,25.6,26.6,0.56,0,17100,7390,769,69,756,496,28,727,138,0.52,0.026,14.5,NA,0.01,NA,3.23,230,0.23,NA,0.5,2.2,NA,10,0.019,0.321,0.156,0.476,0.073,NA,10,0,68
2203,US-1100612,H506,Chia seeds,usda,2234.256,534,28.88,18.29,42.16,1.55,27.3,3663,7527,28730,0,255,642,392,30,813,5.73,1.22,25.4,NA,NA,NA,4.34,0,0.31,NA,NA,4.3,NA,87,1.644,0.161,3.08,NA,0.473,NA,87,0.6,651
504,US-173756,B509,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",usda,1580,378,63,20.5,6.04,10.7,12.2,603,1380,2730,0,57,252,79,24,718,4.31,0.656,0,NA,4.15,NA,2.76,0,0.82,NA,NA,9,NA,557,0.477,0.212,1.54,1.59,0.535,NA,557,4,40
,US-473921,A510,CRACKED WHEAT,usda,1464.4,350,75,12.5,1.25,0,12.5,0,NA,NA,0,50,NA,NA,0,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
,US-170857,L515,"Cream, fluid, light (coffee cream or table cream)",usda,815,195,3.66,2.96,19.1,3.67,0,10200,4520,789,59,91,92,9,72,136,0.05,0.012,4.6,NA,0.005,NA,0.32,117,0.12,0,1.1,1.7,NA,2,0.023,0.19,0.09,0.44,0.044,NA,2,0.8,37
,US-463153,X518,CREAMED CORN,usda,665.256,159,17.7,3.54,7.96,5.31,1.8,4420,NA,NA,27,53,NA,NA,186,NA,0.32,NA,NA,NA,NA,NA,0,0.265,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,3.2,NA
,US-1860491,X515,"DIJON MUSTARD, DIJON",usda,418.4,100,0,0,0,0,0,0,0,0,0,0,NA,NA,2400,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
151,US-604150,E514,DRIED MANGO,usda,1464.4,350,85,0,0,67.5,2.5,0,NA,NA,0,0,NA,NA,175,275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
3456,US-1979740,G548,"GINGER JUICE, GINGER",usda,280.328,67,16.67,0,0,0,0,0,0,NA,0,17,NA,NA,0,417,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,US-173030,E515,"Gooseberries, raw",usda,184.096,44,10.2,0.88,0.58,NA,4.3,38,51,317,0,25,27,10,1,198,0.31,0.07,0.6,NA,0.144,NA,0.12,0,0.37,NA,NA,NA,NA,6,0.04,0.03,0.3,0.286,0.08,NA,6,27.7,0
,US-806241,G540,HIMALAYAN BLACK SALT,usda,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,38182,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,US-576790,U506,HOT DOG BUNS,usda,1025.08,245,45.28,9.43,2.83,5.66,1.9,940,0,0,NA,30,NA,NA,434,72,1.89,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-499195,W504,JAM,usda,836.8,200,50,0,0,45,0,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456,US-168573,G551,"Lemon grass (citronella), raw",usda,414,99,25.3,1.82,0.49,NA,NA,119,54,170,0,65,101,60,6,723,8.17,0.266,0.7,NA,NA,NA,2.23,0,NA,NA,NA,NA,NA,75,0.065,0.135,1.1,0.05,0.08,NA,75,2.6,3
151,US-167749,G550,"Lemon peel, raw",usda,197,47,16,1.5,0.3,4.17,10.6,39,11,89,0,134,12,15,6,160,0.8,0.092,0.7,NA,NA,NA,0.25,0,0.25,NA,NA,0,NA,13,0.06,0.08,0.4,0.319,0.172,NA,13,129,121
,US-2015108,T504,MARGARINE,usda,2987.376,714,0,0,78.57,NA,NA,21400,21400,35700,0,NA,NA,NA,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2151,US-172225,L521,"Milk, buttermilk, fluid, whole",usda,260,62,4.88,3.21,3.31,4.88,0,1900,827,0,11,115,85,10,105,135,0.03,0.025,3.7,NA,0.004,NA,0.38,46,0.07,NA,1.3,0.3,NA,5,0.047,0.172,0.09,0.38,0.036,NA,5,0,7
2151,US-170877,L516,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",usda,1520,362,52,36.2,0.77,52,0,499,201,30,20,1260,968,110,535,1790,0.32,0.041,27.3,NA,NA,NA,4.08,6,0,NA,0,0.1,NA,50,0.415,1.55,0.951,3.57,0.361,NA,50,6.8,1
2203,US-851134,H505,"MIXED NUTS CASHEWS, ALMONDS, HAZELNUTS, PISTACHIOS, PECANS, MIXED NUTS",usda,2539.688,607,25,17.86,50,3.57,7.1,7140,NA,NA,NA,143,NA,NA,286,714,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-711552,G541,MSG MONOSODIUM GLUTAMATE,usda,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-461985,X514,MUSTARD SAUCE,usda,2690.312,643,3.57,3.57,71.43,0,0,12500,NA,NA,89,0,NA,NA,714,NA,1.29,NA,NA,NA,NA,NA,0,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2203,US-170174,H508,"Nuts, coconut water (liquid from coconuts)",usda,79,19,3.71,0.72,0.2,2.61,1.1,176,8,2,0,24,20,25,105,250,0.29,0.04,1,NA,0.142,NA,0.1,0,0,NA,NA,0,NA,3,0.03,0.057,0.08,0.043,0.032,NA,3,2.4,0
,US-172337,T510,"Oil, mustard",usda,3700,884,0,0,100,NA,0,11600,59200,21200,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA
151,US-169103,G552,"Orange peel, raw",usda,405,97,25,1.5,0.2,NA,10.6,24,36,40,0,161,21,22,3,212,0.8,0.092,1,NA,NA,NA,0.25,0,0.25,NA,NA,NA,NA,30,0.12,0.09,0.9,0.49,0.176,0,30,136,NA
151,US-168576,G549,"Peppers, jalapeno, raw",usda,119,29,6.5,0.91,0.37,4.12,2.8,92,29,112,0,12,26,15,3,248,0.25,0.046,0.4,NA,0.097,NA,0.14,0,3.58,NA,NA,18.5,NA,27,0.04,0.07,1.28,0.315,0.419,0,27,119,1594
3776,US-395417,D507,PITTED BLACK OLIVES,usda,556.472,133,6.67,0,13.33,0,0,3330,NA,NA,0,0,NA,NA,800,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
151,US-167755,E513,"Raspberries, raw",usda,220,52,11.9,1.2,0.65,4.42,6.5,19,64,375,0,25,29,22,1,151,0.69,0.09,0.2,NA,0.67,NA,0.42,0.002,0.87,NA,NA,7.8,NA,21,0.032,0.038,0.598,0.329,0.055,NA,21,26.2,164
,US-499035,G543,RICE VINEGAR,usda,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,US-585551,B511,ROASTED CHICKPEAS,usda,1196.624,286,60.71,17.86,7.14,3.57,21.4,0,NA,NA,0,36,NA,NA,679,821,4.64,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2203,US-170149,H503,"Seeds, lotus seeds, dried",usda,1390,332,64.5,15.4,1.97,NA,NA,330,388,1170,0,163,626,210,5,1370,3.53,0.35,NA,NA,2.32,NA,1.05,0,NA,NA,NA,NA,NA,104,0.64,0.15,1.6,0.851,0.629,NA,104,0,NA
,US-400113,G535,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",usda,1506.24,360,90,0,0,0,20,0,NA,NA,0,200,NA,NA,3000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
,US-1097906,L514,"Sour cream, regular",usda,828.432,198,4.63,2.44,19.35,3.41,0,10140,4594,800,59,101,76,10,31,125,0.07,0.018,3.7,NA,NA,NA,0.33,121,0.38,NA,NA,1.5,NA,6,0.02,0.168,0.093,NA,0.041,NA,6,0.9,30
504,US-174270,B508,"Soybeans, mature seeds, raw",usda,1870,446,30.2,36.5,19.9,7.33,9.3,2880,4400,11300,0,277,704,280,2,1800,15.7,1.66,17.8,NA,2.52,NA,4.89,0,0.85,NA,NA,47,NA,375,0.874,0.87,1.62,0.793,0.377,NA,375,6,13
,US-171327,G555,"Spices, onion powder",usda,1430,341,79.1,10.4,1.04,6.63,15.2,219,202,310,0,384,322,113,73,985,3.9,0.59,14.3,NA,1.3,,4.05,0,NA,NA,NA,4.1,NA,64,0.457,0.08,0.321,0.732,0.718,NA,64,23.4,0
,US-384277,G537,STAR ANISE,usda,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-490013,W505,STRAWBERRY JAM,usda,941.4,225,60,0,0,35,0,0,NA,NA,0,5,NA,NA,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-468991,A512,"SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA",usda,1673.6,400,50,16.67,33.33,0,0,0,NA,NA,0,0,NA,NA,0,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
,US-695922,I511,"TUTTI FRUTTI GUMBALLS, TUTTI FRUTTI",usda,2092,500,100,0,0,66.67,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US-173471,G544,Vanilla extract,usda,1200,288,12.6,0.06,0.06,12.6,0,10,10,4,0,11,6,12,9,148,0.12,0.072,0,NA,0.23,NA,0.11,0,0,NA,NA,0,NA,0,0.011,0.095,0.425,0.035,0.026,0,0,0,0
,US-172237,G538,"Vinegar, distilled",usda,76,18,0.04,0,0,0.04,0,0,0,0,0,6,4,1,2,2,0.03,0.006,0.5,NA,0.055,NA,0.01,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0
,US-170885,L517,"Whey, acid, fluid",usda,100,24,5.12,0.76,0.09,5.12,0,57,25,4,1,103,78,10,48,143,0.08,0.03,1.8,NA,0.002,NA,0.43,2,0,NA,NA,0,NA,2,0.042,0.14,0.079,0.381,0.042,NA,2,0.1,NA
301,US-534237,U507,WHITE HAMBURGER BUNS,usda,1071.104,256,48.84,9.3,3.49,6.98,2.3,0,0,2330,0,47,NA,NA,465,NA,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1,0.316,4.651,NA,NA,NA,93,0,NA
301,US-492422,U508,WHOLE WHEAT HAMBURGER BUNS,usda,1025.08,245,45.28,11.32,3.77,5.66,5.7,0,0,1890,0,75,NA,NA,453,NA,2.04,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0.128,3.019,0,NA,NA,0,0,NA
